"","weight","sire"
"1",61,"1"
"2",100,"1"
"3",56,"1"
"4",113,"1"
"5",99,"1"
"6",103,"1"
"7",75,"1"
"8",62,"1"
"9",75,"2"
"10",102,"2"
"11",95,"2"
"12",103,"2"
"13",98,"2"
"14",115,"2"
"15",98,"2"
"16",94,"2"
"17",58,"3"
"18",60,"3"
"19",60,"3"
"20",57,"3"
"21",57,"3"
"22",59,"3"
"23",54,"3"
"24",100,"3"
"25",57,"4"
"26",56,"4"
"27",67,"4"
"28",59,"4"
"29",58,"4"
"30",121,"4"
"31",101,"4"
"32",101,"4"
"33",59,"5"
"34",46,"5"
"35",120,"5"
"36",115,"5"
"37",115,"5"
"38",93,"5"
"39",105,"5"
"40",75,"5"
